text_id,sent_id,token_id,token,label,dmd_tag,lex_tag,adr_label
1,1,1,Кто,O,O,O,O
1,1,2,принимает,O,O,O,O
1,1,3,таблетки,O,O,O,O
1,1,4,откликнетесь,O,O,O,O
1,1,5,пожалуйста,O,O,O,O
1,1,6,!,O,O,O,O
1,2,1,И,O,O,O,O
1,2,2,кто,O,O,O,O
1,2,3,перешёл,O,O,O,O
1,2,4,с,O,O,O,O
1,2,5,феронов,O,B-DMD,O,O
1,2,6,на,O,O,O,O
1,2,7,таблетки,O,O,O,O
1,2,8,",",O,O,O,O
1,2,9,в,O,O,O,O
1,2,10,чем,O,O,O,O
1,2,11,различие,O,O,O,O
1,2,12,))),O,O,O,O
1,2,13,У,O,O,O,O
1,2,14,меня,O,O,O,O
1,2,15,опыт,O,O,O,O
1,2,16,применения,O,O,O,O
1,2,17,лекарств,O,O,O,O
1,2,18,от,O,O,O,O
1,2,19,РС,O,O,O,O
1,2,20,маленький,O,O,O,O
1,2,21,",",O,O,O,O
1,2,22,сначала,B-INT,O,O,O
1,2,23,колола,I-INT,O,O,O
1,2,24,инфебету,I-INT,B-DMD,O,O
1,2,25,привыкала,O,O,O,O
1,2,26,больше,O,O,O,O
1,2,27,года,O,O,O,O
1,2,28,...,O,O,O,O
1,2,29,и,O,O,O,O
1,2,30,температура,O,O,SYMPTOM,B-ADR-FLS
1,2,31,",",O,O,O,O
1,2,32,шишки,O,O,SYMPTOM,B-ADR-LR
1,2,33,",",O,O,O,O
1,2,34,усталость,O,O,SYMPTOM,B-ADR-QOL
1,2,35,",",O,O,O,O
1,2,36,бессонница,O,O,SYMPTOM,B-ADR-QOL
1,2,37,",",O,O,O,O
1,2,38,вообще,O,O,O,O
1,2,39,я,O,O,O,O
1,2,40,себя,O,O,O,O
1,2,41,растением,O,O,SYMPTOM,B-ADR-QOL
1,2,42,называла,O,O,O,O
1,2,43,",",O,O,O,O
1,2,44,толком,O,O,O,O
1,2,45,ещё,O,O,O,O
1,2,46,не,O,O,O,O
1,2,47,привыкнув,O,O,O,O
1,2,48,перевели,B-INT,O,O,O
1,2,49,на,I-INT,O,O,O
1,2,50,генфаксон,I-INT,B-DMD,O,O
1,2,51,",",O,O,O,O
1,2,52,себя,O,O,O,O
1,2,53,пересилить,O,O,O,O
1,2,54,не,O,O,O,O
1,2,55,смогла,O,O,O,O
1,2,56,",",O,O,O,O
1,2,57,сейчас,O,O,O,O
1,2,58,врач,O,O,O,O
1,2,59,предлагает,O,O,O,O
1,2,60,таблетки,O,O,O,O
1,2,61,.,O,O,O,O
1,3,1,Как,O,O,O,O
1,3,2,вы,O,O,O,O
1,3,3,их,O,O,O,O
1,3,4,переносили,O,O,O,O
1,3,5,",",O,O,O,O
1,3,6,долго,O,O,O,O
1,3,7,привыкали,O,O,O,O
1,3,8,",",O,O,O,O
1,3,9,побочка,O,O,ADR,O
1,3,10,????,O,O,O,O
1,4,1,?,O,O,O,O
2,1,1,Копаксона,B-INT,B-DMD,O,O
2,1,2,не,I-INT,O,O,O
2,1,3,пошёл,I-INT,O,O,O
2,1,4,после,O,O,O,O
2,1,5,1,O,O,O,O
2,1,6,",",O,O,O,O
2,1,7,5,O,O,O,O
2,1,8,лет,O,O,O,O
2,1,9,приёма,O,O,O,O
2,1,10,",",O,O,O,O
2,1,11,шишки,O,O,SYMPTOM,B-ADR-LR
2,1,12,",",O,O,O,O
2,1,13,ямки,O,O,SYMPTOM,B-ADR-LR
2,1,14,на,O,O,O,I-ADR-LR
2,1,15,коже,O,O,ANATOMY,I-ADR-LR
2,1,16,",",O,O,O,O
2,1,17,суставы,O,O,ANATOMY,B-ADR-MSS
2,1,18,в,O,O,O,I-ADR-MSS
2,1,19,хлам,O,O,O,I-ADR-MSS
2,1,20,",",O,O,O,O
2,1,21,волосы,O,O,ANATOMY,B-ADR-IS
2,1,22,",",O,O,O,O
2,1,23,пломбы,O,O,O,B-ADR-OTHER
2,1,24,полетели,O,O,O,I-ADR-OTHER
2,1,25,",",O,O,O,O
2,1,26,далее,O,O,O,O
2,1,27,стала,O,O,O,B-ADR-OTHER
2,1,28,задыхается,O,O,VERB,I-ADR-OTHER
2,1,29,",",O,O,O,O
2,1,30,усиленно,O,O,O,B-ADR-CVS
2,1,31,чсс,O,O,O,I-ADR-CVS
2,1,32,",",O,O,O,O
2,1,33,в,O,O,O,B-ADR-CVS
2,1,34,голове,O,O,ANATOMY,I-ADR-CVS
2,1,35,пульсирует,O,O,VERB,I-ADR-CVS
2,1,36,",",O,O,O,O
2,1,37,давление,O,O,SYMPTOM,B-ADR-CVS
2,1,38,",",O,O,O,O
2,1,39,короче,O,O,O,O
2,1,40,",",O,O,O,O
2,1,41,отменили,O,O,O,O
2,1,42,Теперь,B-INT,O,O,O
2,1,43,генфаксон,I-INT,B-DMD,O,O
2,1,44,уже,O,O,O,O
2,1,45,год,O,O,O,O
2,1,46,",",O,O,O,O
2,1,47,первые,O,O,O,O
2,1,48,2,O,O,O,O
2,1,49,дн,O,O,O,O
2,1,50,лихорадило,O,O,VERB,B-ADR-FLS
2,1,51,",",O,O,O,O
2,1,52,температура,O,O,SYMPTOM,B-ADR-FLS
2,1,53,39,O,O,O,I-ADR-FLS
2,1,54,",",O,O,O,O
2,1,55,далее,O,O,O,O
2,1,56,совсем,O,O,O,O
2,1,57,просто,O,O,O,O
2,1,58,",",O,O,O,O
2,1,59,никаких,O,O,O,B-ADR-NEG
2,1,60,побочек,O,O,ADR,I-ADR-NEG
2,1,61,",",O,O,O,O
2,1,62,пока,O,O,O,O
2,1,63,",",O,O,O,O
2,1,64,шишки,O,O,SYMPTOM,B-ADR-LR
2,1,65,есть,O,O,VERB,O
2,1,66,но,O,O,O,O
2,1,67,лучше,O,O,O,O
2,1,68,чем,O,O,O,O
2,1,69,при,O,O,O,O
2,1,70,копе,O,B-DMD,O,O
2,1,71,",",O,O,O,O
2,1,72,ЧАЗН,O,O,O,O
2,1,73,улучшился,O,O,O,O
2,1,74,",",O,O,O,O
2,1,75,может,O,O,O,O
2,1,76,ушёл,O,O,O,O
2,1,77,",",O,O,O,O
2,1,78,пока,O,O,O,O
2,1,79,не,O,O,O,O
2,1,80,проверялась,O,O,O,O
3,1,1,Я,O,O,O,O
3,1,2,с,O,O,O,O
3,1,3,июля,O,O,O,O
3,1,4,не,O,O,O,O
3,1,5,могу,O,O,O,O
3,1,6,получить,O,O,O,O
3,1,7,Инфибету,O,B-DMD,O,O
3,1,8,.,O,O,O,O
3,2,1,Дают,B-INT,O,O,O
